time,voltage,current,power
42.613,0.290,0.5460,0.158
42.885,0.290,0.5460,0.158
43.161,0.290,0.5460,0.158
43.428,0.290,0.5460,0.158
43.696,0.290,0.5460,0.158
43.973,0.290,0.5460,0.158
44.244,0.290,0.5460,0.158
44.517,0.290,0.5460,0.158
44.797,0.290,0.5460,0.158
45.061,0.290,0.5460,0.158
45.340,0.290,0.5460,0.158
45.621,0.290,0.5460,0.158
45.890,0.290,0.5460,0.158
46.184,0.290,0.5460,0.158
46.464,0.290,0.5460,0.158
46.733,0.290,0.5460,0.158
47.012,0.290,0.5460,0.158
47.276,0.290,0.5460,0.158
47.554,0.290,0.5460,0.158
47.842,0.290,0.5460,0.158
48.102,0.290,0.5460,0.158
48.373,0.290,0.5460,0.158
48.653,0.290,0.5460,0.158
48.932,0.290,0.5460,0.158
49.192,0.290,0.5460,0.158
49.462,0.290,0.5460,0.158
49.742,0.290,0.5460,0.158
50.012,0.290,0.5460,0.158
50.272,0.290,0.5460,0.158
50.558,0.290,0.5460,0.158
50.827,0.290,0.5460,0.158
51.097,0.290,0.5460,0.158
51.365,0.290,0.5460,0.158
51.638,0.290,0.5460,0.158
51.903,0.290,0.5460,0.158
52.180,0.290,0.5460,0.158
52.445,0.290,0.5460,0.158
52.714,0.290,0.5460,0.158
52.984,0.290,0.5460,0.158
53.247,0.290,0.5460,0.158
53.512,0.290,0.5460,0.158
53.777,0.290,0.5460,0.158
54.039,0.290,0.5460,0.158
54.314,0.290,0.5460,0.158
54.585,0.290,0.5460,0.158
54.845,0.290,0.5460,0.158
55.115,0.290,0.5460,0.158
55.372,0.290,0.5460,0.158
55.649,0.290,0.5460,0.158
55.933,0.290,0.5460,0.158
56.195,0.290,0.5460,0.158
56.461,0.290,0.5460,0.158
56.750,0.290,0.5460,0.158
57.015,0.290,0.5460,0.158
57.288,0.290,0.5460,0.158
57.560,0.290,0.5460,0.158
57.831,0.290,0.5460,0.158
58.098,0.290,0.5460,0.158
58.362,0.290,0.5460,0.158
58.627,0.290,0.5460,0.158
58.890,0.290,0.5460,0.158
59.174,0.290,0.5460,0.158
59.440,0.290,0.5460,0.158
59.713,0.290,0.5460,0.158
59.975,0.290,0.5460,0.158
60.263,0.290,0.5460,0.158
60.526,0.290,0.5460,0.158
60.793,0.290,0.5460,0.158
61.079,0.290,0.5460,0.158
61.343,0.290,0.5460,0.158
61.616,0.290,0.5460,0.158
61.873,0.290,0.5460,0.158
62.164,0.290,0.5460,0.158
62.428,0.290,0.5460,0.158
62.700,0.290,0.5460,0.158
62.963,0.290,0.5460,0.158
63.229,0.290,0.5460,0.158
63.502,0.290,0.5460,0.158
63.782,0.290,0.5460,0.158
64.052,0.290,0.5460,0.158
64.323,0.290,0.5460,0.158
64.602,0.290,0.5460,0.158
64.867,0.290,0.5460,0.158
65.147,0.290,0.5460,0.158
65.412,0.290,0.5460,0.158
65.678,0.290,0.5460,0.158
65.940,0.290,0.5460,0.158
66.205,0.290,0.5460,0.158
66.469,0.290,0.5460,0.158
66.759,0.290,0.5460,0.158
time,voltage,current,power
0.062,0.290,0.5460,0.158
0.337,0.290,0.5460,0.158
0.607,0.290,0.5460,0.158
0.877,0.290,0.5460,0.158
1.161,0.290,0.5460,0.158
1.433,0.290,0.5460,0.158
1.713,0.290,0.5460,0.158
1.983,0.290,0.5460,0.158
time,voltage,current,power
0.060,0.290,0.5460,0.158
0.352,0.290,0.5460,0.158
0.617,0.290,0.5460,0.158
0.877,0.290,0.5460,0.158
1.147,0.290,0.5460,0.158
1.430,0.290,0.5460,0.158
1.702,0.290,0.5460,0.158
1.982,0.290,0.5460,0.158
2.252,0.290,0.5460,0.158
2.512,0.290,0.5460,0.158
2.789,0.290,0.5460,0.158
3.050,0.290,0.5460,0.158
3.313,0.290,0.5460,0.158
3.578,0.290,0.5460,0.158
3.865,0.290,0.5460,0.158
4.221,0.300,0.0000,0.000
4.491,0.300,0.0000,0.000
4.971,0.300,0.0010,0.000
5.230,0.300,0.0010,0.000
5.701,0.300,0.0040,0.001
5.980,0.300,0.0050,0.001
6.450,0.300,0.0050,0.001
6.749,0.300,0.0090,0.002
7.213,0.300,0.0130,0.003
7.482,0.300,0.0130,0.003
7.957,0.300,0.0130,0.003
8.227,0.300,0.0170,0.005
8.800,0.300,0.0210,0.006
9.074,0.300,0.0210,0.006
9.545,0.300,0.0250,0.007
9.814,0.300,0.0250,0.007
10.314,0.300,0.0250,0.007
10.574,0.300,0.0290,0.008
11.075,0.300,0.0330,0.009
11.347,0.300,0.0330,0.009
11.822,0.300,0.0370,0.011
12.083,0.300,0.0370,0.011
12.561,0.300,0.0390,0.011
12.823,0.300,0.0410,0.012
13.288,0.300,0.0410,0.012
13.667,0.300,0.0190,0.005
14.025,0.300,0.0000,0.000
14.425,0.300,0.0370,0.011
14.914,0.300,0.0530,0.015
15.279,0.300,0.0770,0.023
time,voltage,current,power
0.061,0.300,0.0770,0.023
0.340,0.300,0.0770,0.023
0.642,0.300,0.0770,0.023
0.916,0.300,0.0770,0.023
1.174,0.300,0.0770,0.023
1.454,0.300,0.0770,0.023
1.718,0.300,0.0770,0.023
1.988,0.300,0.0770,0.023
2.258,0.300,0.0770,0.023
2.542,0.300,0.0770,0.023
2.808,0.300,0.0770,0.023
3.082,0.300,0.0770,0.023
3.348,0.300,0.0770,0.023
3.628,0.300,0.0770,0.023
3.888,0.300,0.0770,0.023
4.158,0.300,0.0770,0.023
4.425,0.300,0.0770,0.023
4.704,0.300,0.0770,0.023
4.975,0.300,0.0770,0.023
5.242,0.300,0.0770,0.023
5.520,0.300,0.0770,0.023
5.785,0.300,0.0770,0.023
6.057,0.300,0.0770,0.023
6.319,0.300,0.0770,0.023
6.581,0.300,0.0770,0.023
7.037,0.300,0.0300,0.009
7.307,0.300,0.0000,0.000
7.797,0.300,0.0000,0.000
8.076,0.300,0.0000,0.000
8.542,0.300,0.0000,0.000
8.809,0.300,0.0000,0.000
9.298,0.300,0.0000,0.000
9.570,0.300,0.0000,0.000
10.026,0.300,0.0000,0.000
10.296,0.300,0.0000,0.000
10.769,0.300,0.0000,0.000
11.048,0.300,0.0000,0.000
11.319,0.300,0.0000,0.000
11.592,0.300,0.0000,0.000
11.862,0.300,0.0000,0.000
12.132,0.300,0.0000,0.000
12.402,0.300,0.0000,0.000
12.669,0.300,0.0000,0.000
12.940,0.300,0.0000,0.000
13.220,0.300,0.0000,0.000
13.500,0.300,0.0000,0.000
